
Alice				Bob				( 16 bit encryption )
SecretKey	PublicKey	SecretKey	PublicKey	SharedSecret	Prime	Base

56076		8		34516		8		8		31	18670
13576		151		2119		33		91		163	3378
21059		6		4792		70		44		269	24348
61755		43		15016		123		80		149	690
62407		452		56903		198		63		659	17884
25606		771		27104		207		57		919	29835
2898		64		52001		128		64		241	37235
26356		138		28798		23		85		173	56504
63356		289		21845		145		400		461	30495
63465		417		34527		222		83		911	58565
56493		1		45545		3		1		13	62214
22221		489		16230		419		757		953	20498
16206		41		51327		31		46		59	539
23953		14		50283		38		38		41	16865
63203		96		44921		5		261		701	13419
37219		274		26474		539		4		653	31547
55953		510		49543		246		571		853	9995
57627		119		36594		230		135		359	25663
65196		400		45748		17		453		509	12732
9918		456		49954		107		1		457	53084

Alice				Bob				( 16 bit encryption )
SecretKey	PublicKey	SecretKey	PublicKey	SharedSecret	Prime	Base

55781		385		2469		105		317		563	12225
65450		338		62729		228		409		433	40238
30346		256		55650		256		1		257	2554
64909		102		52149		369		375		523	6071
35134		259		49251		445		414		661	33310
56024		446		46000		214		225		541	64174
41433		141		26105		205		104		223	38901
22424		17		45512		17		140		149	9883
13975		140		50803		163		102		179	63032
19243		108		53693		318		84		607	54899
35517		9		20435		49		147		179	61265
43931		3		44695		42		40		113	35826
48324		158		60578		59		66		283	18313
20635		11		39988		41		21		43	45111
27286		45		23425		11		239		241	35300
17347		71		7722		741		196		937	46771
59938		29		42788		47		169		173	27021
24335		80		29655		1		1		181	16474
56440		328		36202		367		125		449	57560
19068		25		46418		19		5		71	11054

Alice				Bob				( 16 bit encryption )
SecretKey	PublicKey	SecretKey	PublicKey	SharedSecret	Prime	Base

13357		195		17155		77		206		271	41321
58595		320		45966		105		337		557	40012
15093		162		19560		416		534		827	22298
6117		54		41767		174		106		283	27534
25542		240		16021		196		518		953	59554
22823		365		40569		70		266		433	61317
32229		95		43651		62		22		103	59609
36762		264		21830		253		86		283	7885
21848		238		41323		70		58		281	12581
54085		109		50890		113		24		139	30777
7944		1		43160		10		1		37	13886
6527		800		62126		410		797		887	29703
11840		1		36920		1		1		421	59428
22040		728		36926		301		95		811	57446
57654		293		13544		59		53		521	36878
12260		421		22564		286		153		457	36155
65325		1		18457		49		1		131	44800
48666		197		10472		68		197		223	10549
55642		38		63238		44		169		181	15068
2830		332		45599		18		590		743	6187

Alice				Bob				( 16 bit encryption )
SecretKey	PublicKey	SecretKey	PublicKey	SharedSecret	Prime	Base

43253		271		49164		206		609		673	31044
20710		630		2059		347		219		659	5372
37444		167		37607		42		335		739	45794
60656		126		57591		216		203		229	3064
43034		31		65018		23		16		41	11967
30385		7		53237		54		30		79	16032
59299		694		37223		403		593		761	25840
14252		10		30115		535		472		773	33011
23369		267		17896		64		16		281	1758
48057		28		24120		48		32		71	60121
61619		682		11002		60		32		857	56968
12193		398		48032		123		123		509	61987
38382		698		21746		305		1		997	45708
57541		188		51926		440		944		983	1160
15991		40		64017		16		11		43	4324
14176		538		36120		232		578		593	30041
19535		357		55779		294		804		881	10864
9082		270		18910		123		59		443	50326
26269		209		31530		324		268		997	27501
41186		180		2003		117		257		401	34918

Alice				Bob				( 16 bit encryption )
SecretKey	PublicKey	SecretKey	PublicKey	SharedSecret	Prime	Base

39495		58		17905		3		42		67	59874
54566		86		37891		47		155		199	11657
12464		441		27817		113		470		521	62480
11367		22		37305		3		90		103	28440
1492		129		64712		9		173		229	1558
26299		349		26360		440		262		461	53709
29331		712		41799		844		844		911	53550
29895		85		57747		313		80		331	20245
34228		604		12397		188		79		631	60987
20138		184		38609		184		62		263	13261
39198		437		56834		279		598		827	64628
49452		1		6544		1		1		7	14699
51008		355		39404		399		792		859	33062
42509		37		15674		44		9		79	45630
48255		258		12723		169		231		509	25067
55287		677		40348		282		463		769	19753
46628		41		26802		21		21		43	53709
20302		27		49634		1		1		47	18909
16712		227		28363		373		657		937	32260
10243		275		52456		182		383		619	38893

Alice				Bob				( 16 bit encryption )
SecretKey	PublicKey	SecretKey	PublicKey	SharedSecret	Prime	Base

30435		306		51217		146		240		373	37250
4925		36		18670		1		1		37	25011
15705		244		5780		49		230		359	20249
4129		180		60733		81		221		251	49142
8135		28		40222		75		28		83	14434
50809		34		8755		18		26		43	44574
40137		219		15561		363		197		389	14485
12610		8		44691		6		2		17	26457
56201		58		31440		241		241		563	5688
43179		4		56316		6		8		23	53723
5434		47		348		265		25		269	7854
6521		111		52122		441		401		587	2205
32699		133		14633		277		141		883	46219
48957		93		45796		36		34		103	17115
38725		44		6339		47		56		701	59712
62951		65		22663		335		62		619	12350
56094		109		19422		686		382		797	62915
54934		82		20134		82		5		181	26974
65531		14		8741		14		34		181	2316
14658		389		46807		390		502		619	50620
